,Name,Type,str_50_type,mid_50_type,mid_10_type,mid_25_type,mid_75_type,mid_90_type,Region,str_50_region,mid_50_region,mid_10_region,mid_25_region,mid_75_region,mid_90_region,Major,str_50_major,mid_50_major,percentage_str_to_mid_major,mid_10_major,mid_25,mid_75_major,mid_90_major
181,University Of Maine,State,41200.0,72100.0,41700.0,55600.0,99300.0,141000.0,Northeastern,41200.0,72100.0,41700.0,55600.0,99300.0,141000.0,,,,,,,,
182,Eastern Michigan University,State,40300.0,72100.0,37900.0,52800.0,95400.0,135000.0,Midwestern,40300.0,72100.0,37900.0,52800.0,95400.0,135000.0,,,,,,,,
183,Bowling Green State University,State,39800.0,72100.0,38200.0,51800.0,101000.0,146000.0,Midwestern,39800.0,72100.0,38200.0,51800.0,101000.0,146000.0,,,,,,,,
184,University of Montana,State,37300.0,71900.0,37000.0,51500.0,96400.0,138000.0,Western,37300.0,71900.0,37000.0,51500.0,96400.0,138000.0,,,,,,,,
185,University of Central Florida (UCF),State,42600.0,71700.0,39500.0,51500.0,98400.0,125000.0,Southern,42600.0,71700.0,39500.0,51500.0,98400.0,125000.0,,,,,,,,
186,University of South Carolina,State,40000.0,71700.0,36300.0,49900.0,98400.0,131000.0,Southern,40000.0,71700.0,36300.0,49900.0,98400.0,131000.0,,,,,,,,
187,"University of Nevada, Las Vegas (UNLV)",State,45200.0,71600.0,39000.0,52400.0,100000.0,128000.0,Western,45200.0,71600.0,39000.0,52400.0,100000.0,128000.0,,,,,,,,
188,St. Cloud State University,State,41800.0,71400.0,38700.0,49400.0,101000.0,126000.0,Midwestern,41800.0,71400.0,38700.0,49400.0,101000.0,126000.0,,,,,,,,
189,University of Wisconsin (UW) - Parkside,State,40700.0,71400.0,40900.0,53100.0,84900.0,119000.0,Midwestern,40700.0,71400.0,40900.0,53100.0,84900.0,119000.0,,,,,,,,
190,Humboldt State University,State,42600.0,71300.0,36000.0,56300.0,94400.0,117000.0,California,42600.0,71300.0,36000.0,56300.0,94400.0,117000.0,,,,,,,,
191,Florida Atlantic University (FAU),State,42600.0,71100.0,40700.0,53000.0,99500.0,137000.0,Southern,42600.0,71100.0,40700.0,53000.0,99500.0,137000.0,,,,,,,,
192,University of South Florida (USF),State,41100.0,71100.0,39600.0,51500.0,98100.0,131000.0,Southern,41100.0,71100.0,39600.0,51500.0,98100.0,131000.0,,,,,,,,
193,Portland State University (PSU),State,42600.0,70900.0,40700.0,52300.0,94400.0,123000.0,Western,42600.0,70900.0,40700.0,52300.0,94400.0,123000.0,,,,,,,,
194,Eastern Washington University,State,38600.0,70900.0,36000.0,50500.0,93100.0,117000.0,Western,38600.0,70900.0,36000.0,50500.0,93100.0,117000.0,,,,,,,,
195,University of Texas at San Antonio (UTSA),State,42500.0,70700.0,39100.0,49800.0,92700.0,121000.0,Southern,42500.0,70700.0,39100.0,49800.0,92700.0,121000.0,,,,,,,,
196,University of Akron,State,41100.0,70300.0,40600.0,53300.0,95200.0,127000.0,Midwestern,41100.0,70300.0,40600.0,53300.0,95200.0,127000.0,,,,,,,,
197,State University of New York (SUNY) at Potsdam,State,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0,Northeastern,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0,,,,,,,,
198,University of Alabama at Birmingham (UAB),State,39200.0,70100.0,43000.0,53400.0,91400.0,125000.0,Southern,39200.0,70100.0,43000.0,53400.0,91400.0,125000.0,,,,,,,,
199,University of Memphis (U of M),State,41400.0,69700.0,36100.0,49100.0,93500.0,127000.0,Southern,41400.0,69700.0,36100.0,49100.0,93500.0,127000.0,,,,,,,,
200,Boise State University (BSU),State,40800.0,69500.0,37400.0,48700.0,87500.0,110000.0,Western,40800.0,69500.0,37400.0,48700.0,87500.0,110000.0,,,,,,,,
201,Missouri State University (MSU),State,36100.0,69500.0,33300.0,46900.0,102000.0,134000.0,Midwestern,36100.0,69500.0,33300.0,46900.0,102000.0,134000.0,,,,,,,,
202,University of Wisconsin (UW) - La Crosse,State,42200.0,69300.0,37500.0,47200.0,93100.0,133000.0,Midwestern,42200.0,69300.0,37500.0,47200.0,93100.0,133000.0,,,,,,,,
203,Appalachian State University,State,40400.0,69100.0,37200.0,50400.0,90800.0,115000.0,Southern,40400.0,69100.0,37200.0,50400.0,90800.0,115000.0,,,,,,,,
204,Virginia Commonwealth University (VCU),State,42000.0,68400.0,37400.0,51900.0,100000.0,123000.0,Southern,42000.0,68400.0,37400.0,51900.0,100000.0,123000.0,,,,,,,,
205,University of Wisconsin (UW) - Stout,State,43600.0,68300.0,40900.0,50600.0,91600.0,136000.0,Midwestern,43600.0,68300.0,40900.0,50600.0,91600.0,136000.0,,,,,,,,
206,East Carolina University (ECU),State,40200.0,67500.0,38400.0,52000.0,98700.0,151000.0,Southern,40200.0,67500.0,38400.0,52000.0,98700.0,151000.0,,,,,,,,
207,University of Missouri - St. Louis (UMSL),State,41400.0,67100.0,36800.0,49600.0,97600.0,144000.0,Midwestern,41400.0,67100.0,36800.0,49600.0,97600.0,144000.0,,,,,,,,
208,Western Carolina University,State,36900.0,66600.0,39000.0,49500.0,94400.0,133000.0,Southern,36900.0,66600.0,39000.0,49500.0,94400.0,133000.0,,,,,,,,
209,University of Wisconsin (UW) - Oshkosh,State,39300.0,66400.0,37700.0,49700.0,90100.0,138000.0,Midwestern,39300.0,66400.0,37700.0,49700.0,90100.0,138000.0,,,,,,,,
210,State University of New York (SUNY) at Fredonia,State,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0,Northeastern,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0,,,,,,,,
211,University of Missouri - Kansas City (UMKC),State,38900.0,65800.0,36300.0,48100.0,95800.0,124000.0,Midwestern,38900.0,65800.0,36300.0,48100.0,95800.0,124000.0,,,,,,,,
212,University of Wisconsin (UW) - Eau Claire,State,41400.0,64800.0,35000.0,47300.0,93100.0,125000.0,Midwestern,41400.0,64800.0,35000.0,47300.0,93100.0,125000.0,,,,,,,,
213,Ball State University (BSU),State,39100.0,64500.0,35500.0,48200.0,89300.0,128000.0,Midwestern,39100.0,64500.0,35500.0,48200.0,89300.0,128000.0,,,,,,,,
214,University of North Carolina at Wilmington (UNCW),State,37500.0,64400.0,32100.0,46600.0,97100.0,129000.0,Southern,37500.0,64400.0,32100.0,46600.0,97100.0,129000.0,,,,,,,,
215,University of Wisconsin (UW) - Stevens Point,State,39800.0,64000.0,38400.0,45100.0,95400.0,128000.0,Midwestern,39800.0,64000.0,38400.0,45100.0,95400.0,128000.0,,,,,,,,
216,University of Southern Maine,State,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0,Northeastern,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0,,,,,,,,
217,Arkansas State University (ASU),State,38700.0,63300.0,33600.0,45300.0,83900.0,118000.0,Southern,38700.0,63300.0,33600.0,45300.0,83900.0,118000.0,,,,,,,,
218,Kent State University,State,38700.0,62600.0,36100.0,45800.0,87000.0,124000.0,Midwestern,38700.0,62600.0,36100.0,45800.0,87000.0,124000.0,,,,,,,,
219,Tarleton State University (TSU),State,40800.0,62400.0,32100.0,47400.0,80400.0,126000.0,Southern,40800.0,62400.0,32100.0,47400.0,80400.0,126000.0,,,,,,,,
220,University of Wisconsin (UW) - Green Bay,State,35800.0,60600.0,35500.0,46800.0,81800.0,102000.0,Midwestern,35800.0,60600.0,35500.0,46800.0,81800.0,102000.0,,,,,,,,
221,Morehead State University,State,34800.0,60600.0,34300.0,46500.0,72000.0,91300.0,Southern,34800.0,60600.0,34300.0,46500.0,72000.0,91300.0,,,,,,,,
222,Austin Peay State University,State,37700.0,59200.0,32200.0,40500.0,73900.0,96200.0,Southern,37700.0,59200.0,32200.0,40500.0,73900.0,96200.0,,,,,,,,
223,Pittsburg State University,State,40400.0,58200.0,25600.0,46000.0,84600.0,117000.0,Midwestern,40400.0,58200.0,25600.0,46000.0,84600.0,117000.0,,,,,,,,
